no,name,category,description,member_count,day,period,room,3d_modeling,AI,STEM,academic,academic_support,aerospace,algorithms,animal_welfare,anime,anthropology,astronomy,badminton,baseball,basketball,billiards,biology,board_games,business,charity,cheerleading,chemistry,chinese_culture,climbing,coffee,community_service,competition,computer_science,craftsmanship,creative_arts,culture,cybersecurity,cycling,dance,data_science,debate,design,dodgeball,drones,economics,engineering,entrepreneurship,environment,equestrian,experiments,fashion,fencing,figure_skating,film,finance,fitness,food,football,forensic_science,frisbee,game_development,gaming,gender_studies,geography,geology,golf,hands_on,health,history,hobbies,humanities,investment,journalism,language_learning,law,linguistics,literature,machine_learning,magic,mahjong,martial_arts,math,media,medicine,mental_health,meteorology,motorsport,music,nutrition,outdoor_sports,peer_support,performing_arts,personal_growth,philosophy,photography,physics,pickleball,politics,programming,psychology,racquet_sports,rc_racing,religion,research,rhythm_games,robotics,rowing,running,scuba_diving,skiing,social_sciences,speedcubing,sports,strategy,swimming,table_tennis,tcg,tchoukball,teaching,team_sports,technology,tennis,theater,visual_arts,voice_acting,volleyball,volunteer,water_sports,web_development,wellness,winter_sports,writing,yoga
65,FunTrade,SOCIAL Interests and hobbies,"FunTrade is a friendly ECA for beginners that aims to awake students’ awareness and interest in finance. By introducing basic financial concepts, investment knowledge and real-world financial events, the club helps students develop financial thinking and understand how finance connects with everyday life.",1,friday,period11,A401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Fundamental Physics Club,ACADEMIC Natural sciences,"The Theoretical Physics Club is a student-led academic ECA designed to introduce students to fundamental physics that can help consolidate their background knowledge. We will not delve into very complicated topics, and members are only required to know P1 Calculus. Using Physics for Scientists and Engineers (6th Edition) by Paul A. Tipler and Gene Mosca as our main textbook, we explore fundamental concepts through a combination of guided teaching, mathematical derivations, conceptual discussions, and challenging problem-solving. The club will cover major areas of physics including mechanics, oscillations and waves, thermodynamics, electromagnetism, optics, and introductory modern physics. Sessions will be interactive, where members are encouraged to discuss and challenge each other with their own understandings. It will operate more likely as a study group rather than lecture-based classes.",8,thursday,period11,A617,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Gastronomie,SOCIAL Interests and hobbies,"This ECA is an interdisciplinary club integrating food history, food politics, cultural anthropology and practical culinary techniques. It moves beyond casual food‑tasting activities. Members explore how ingredients travelled across empires, how food reflects power structures, social stratification and global trade. We also cover classical cooking fundamentals alongside avant‑garde modernist cuisine including molecular gastronomy.",1,thursday,lunchtime,A507,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Geographical Society,ACADEMIC Social sciences,"Some extended and advanced content on IGCSE geography and homemade case studies, helping students to broaden their knowledge and revise their classwork on geography. Part of the contents may be given according to AS, AP or AL geography. Non-geography students can also learn about geography in the ECA. Sometimes games can be held for students to learn geography. In addition, sometimes quiz games about geography will be held during our ECA class.",1,monday,period11,A207,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,GirlUp SCIE,ACADEMIC Social sciences,"Girl Up is a student-led club dedicated to promoting gender equality and creating a space for students to learn, discuss, and take action on issues affecting girls and women. Through discussions during club session, volunteering work with non-profit communities and yearly summits, we hope to turn awareness into meaningful action. Whether you are passionate about gender equality or simply curious to learn more, Girl Up is a place to share your voice, hear different perspectives, and make a difference within and beyond our school community.",1,wednesday,lunchtime,A216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
70,Girls Basketball Club,SPORTS,"Plan to organize basketball training every Monday afternoon for girls who would like to learn and play basketball. Leading by PE teachers, this club is also aiming to train and prepare for the upcoming tryout of the school varsity team. Giving every students in SCIE an opportunity to enjoy playing basketball, the club has already have more than 3 years of history and has proficient experiences.",1,monday,period11,BBL,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Glow & Grow,SOCIAL Media and creative,"Glow & Grow is a student-led club that fosters confidence, wellness, and creativity within the school community. The teenage years are often marked by self-doubt, insecurities, and pressure from societal standards. Our club provides a safe and uplifting environment where students can strengthen their psychological resilience, developing a healthier relationship with themselves and others, and also providing professional guidance to enhance self-care skills, therefore enhancing confidence. Through activities in confidence-building, journaling, self-expression and stress management, our eca “Glow & Grow” aims to spread positivity throughout the school’s atmosphere. By helping members feel comfortable in their own appearance and encouraging self-acceptance, the club contributes to a more supportive, empathetic, and confident student body. The ultimate goal is not only personal growth for members, but also the creation of a school-wide culture of encouragement, self-belief, and community care.",1,monday,period11,A208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
72,Great Books Society,ACADEMIC Languages,"Great Books Society is a student-led reading and discussion club for students interested in philosophy, literature, history, politics, and the fundamental questions of human life. Each week, members will read a short text or selected excerpts from an influential work and discuss a central question raised by it: What is justice? What makes a good life? Are we truly free? What do we owe to others? What makes political authority legitimate? Possible readings will include works by Plato, Aristotle, Confucius, Shakespeare, John Stuart Mill, Nietzsche, Hannah Arendt, and other major thinkers and writers from different intellectual traditions. No previous knowledge of philosophy is required, and readings will be kept manageable and accessible. Meetings will combine close reading, guided discussion, short debates, thought experiments, and student-led presentations. Rather than looking for one “correct” interpretation, members will learn to question assumptions, examine arguments, listen carefully to different perspectives, and develop their own reasoned responses to enduring human questions.",1,thursday,period11,A211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,GreenRoot Society,ACADEMIC Others,"GreenRoot Society is a student-led community dedicated to exploring the connections between environmental change and human health—starting with soil. Our journey begins with personal story from Fujian, where agricultural pollution have harmed local farmland, showing the hidden urgency of soil protection. Members will then participate in the Out of Eden Learn – Introduction to Planetary Health learning journey, inspired by Paul Salopek’s slow journalism walk around the world. Through four “Footsteps,” we will: 1. Observe – Take mindful walks in our communities to notice and record environmental and health-related changes. 2. Connect – Build concept maps linking environmental changes such as pollution or biodiversity loss with specific human health impacts. 3. Investigate – Focus on one planetary health issue, research it through observation, interviews, and reliable resources, and share findings. 4. Act – Identify daily choices that affect planetary health and create advocacy resources to inspire change. Through GreenRoot Society, students will combine observation, scientific thinking, and storytelling to become thoughtful, informed advocates for the planet—proving that local actions can contribute to global health.",3,monday,period13,A506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,HEART BEAT,ACADEMIC Social sciences,"Our club is open to students from all disciplines who have an interest in understanding human personality psychology. We welcome anyone eager to explore the intricacies of psychology and introduce our club members to a wide range of professional knowledge on psychology, including Typology, personality psychology, analytical psychology and psychodynamic. Our club members are able to enjoy activities including lectures and workshops, as ECA leaders will share their research and insights on various topics related to psychology. Besides, they can also join volunteering projects that helps in explore psychology more in actions. Members can discuss theories with practical examples in reality to gain a better understanding. Our original objectives are to build a comprehensive understanding of psychology and to create an interactive environment where members can discuss and explore various aspects of psychology. Moreover, we also aim to help members gain a deeper understanding of their own personalities and foster personal growth. Join our club to delve into the fascinating world of personality psychology, connect with passionate peers, and listen to the heartbeat from every personality type.",1,monday,period12,B221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,HELPHANT,SOCIAL Volunteers and charitable projects,"HELPHANT is a student-led organization dedicated to raising awareness of elephant conservation, and broader environmental issues and animal welfare through education, art, and public engagement. Through social media campaigns, educational activities, and charity sales, we aim to help more people understand the challenges facing elephants and encourage meaningful action to support international conservation efforts. Beyond animal protection, HELPHANT also seeks to make community service more inclusive by creating opportunities for people from different backgrounds to participate, express themselves, and contribute to society. We believe that small actions can connect people and create lasting impact.",1,monday,period11,A302,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Heartbreak Vaccine Club,SOCIAL Volunteers and charitable projects,"The Heartbreak Vaccine Club is a student organization dedicated to promoting mental health and well-being on campus. Through peer mentoring, we provide a safe, supportive, and non-judgmental space where students can share their struggles with academics, relationships, and everyday life. Our members are trained in basic counseling and active listening skills, fostering empathy and understanding. Beyond one-on-one support, we also run a public platform to share accessible psychology knowledge and practical strategies for emotional resilience. Our mission is to normalize conversations around mental health and to build a campus culture of care, empathy, and connection.",1,thursday,period11,A220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Helping Unique Growing Souls,SOCIAL Volunteers and charitable projects,"HugS(Helping Unique Growing Souls) is determined to provide help for the children with physical disabilities by multiple methods, for example, advocacy, education, and hands-on volunteer activities. Children with disabilities include those with physical disabilities, intellectual or cognitive disorders, and neurodevelopmental disorders such as autism spectrum disorder. Although awareness of providing special education to those children has improved in recent years, the phenomenon of a lack of public understanding, social stigma, and limited opportunities for accessing inclusive education persists. As a result, the primary aim of our club would be to improve their situation in society in the long term and provide common knowledge of them to those with limited understanding. By collaborating with local welfare centers, we want to provide more meaningful social engagement for students and the community so that they are able to engage with these special children and understand their special situation and lived experiences. Members are also encouraged to participate in awareness campaigns and the promotion of special education.",1,wednesday,lunchtime,A408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0
78,Hermanity,ACADEMIC Social sciences,"Humanities and Female Lens are two key words for this ECA. Humanities play a crucial role in our lives, especially in the world we now live in. Without literature, history, or philosophy, STEM would become lifeless numbers. Therefore, recognizing the importance of the humanities and how it influences our world is essential for personal and societal growth. In order to understand humanities, we have to approach it with different perspectives. Although there are several ECAs that focus on humanities, this ECA stands out as unique because it offers knowledge through a new, female perspective. Due to gender inequality, many influential women have been overlooked, and their contributions often went unrecognised. ‘Hermanity’ aims to help students appreciate the value of the humanities through a female lens and foster students’ critical thinking, collaboration, and public speaking skills. We thrive to reverse the stereotypes linked with humanities and overcome difficulties in reading and writing. Overall, we aim to foster student’s intrinsic motivations by giving members the opportunities to learn, and offer them a new lens when viewing our world.",1,monday,lunchtime,A201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,ISL BOYS VOLLEYBALL,SPORTS,ECA for ISL Boys team,0,monday,period11,H100A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0
80,ISL GIRLS VOLLEYBALL,SPORTS,ECA for the School Volleyball team,0,tuesday,period11,H100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0
81,Integrated Strategies Strategies Integrated,ACADEMIC Others,"Integrated Strategies Strategies Integrated is an ECA that explores how history can be learned, represented and debated through video games, board games and strategy games. Members will look at how games set in different periods, such as Ancient Rome, medieval kingdoms, the World Wars or the Cold War, present historical events, leaders, societies and conflicts. We will discuss what games get right, what they simplify, and how game design influences our understanding of the past. Students will also try short challenges such as analysing historical accuracy, comparing games with real sources, and designing their own mini history game concepts. This ECA combines academic discussion with interactive activities, making history more engaging and memorable. It is suitable for students who enjoy history, gaming, storytelling, strategy and critical thinking.",1,monday,period12,A201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,InvestNow,ACADEMIC Business and economics,"InvestNow aims to make finance accessible, practical, and intellectually engaging, especially for students with little or no prior experience. Through interactive lessons, real-world cases, portfolio simulations, and discussions of current financial news, members will gradually develop the ability to understand businesses, interpret basic financial information, evaluate risk and return, and form their own investment opinions. The semester will culminate in a stock pitch, where students apply what they have learned to research, analyze, and defend an investment idea. Following feedback from previous members, we have redesigned our curriculum to provide a much stronger foundation before introducing advanced material. In addition, our experienced academic team, with strong results in national and international economics and investment competitions, also offers optional advanced sessions covering topics such as DCF valuation, portfolio and risk modelling, and derivatives. Beyond weekly teaching, InvestNow has already developed into a wider platform for financial education and student collaboration. We have organized two inter-school investment competitions involving students from schools spanning Suzhou to Shenzhen, collaborated with the Global Citizenship team to present social-enterprise projects during Sustainability Week, and have been invited to serve as one of the organizing societies for a seven-school Greater Bay Area investment competition.",1,monday,period11,A220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,IoT Business Simulator,ACADEMIC Others,"We are a student-led club where technology meets entrepreneurship. Members from engineering, business, design, and other backgrounds work together to turn real-world problems into IoT products using ESP32 and other accessible technologies. From identifying a problem and conducting market research to designing, prototyping, testing, and marketing a product on real world platforms, members experience the complete journey from idea to product. In addition, we design activities that directly focus on benefiting your US application, blending ideas of leadership, creativity, and social impacts.",2,thursday,period11,A216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
84,JGG,SOCIAL Active and performance,"JGG is a music club built on joy, energy, and good vibes. The name comes from the Chinese “Jiao Gao Gao,” meaning “standing on tiptoes and reaching higher.” It also stands for “Just Get Groovy.” We are a group of music lovers who enjoy playing, creating, and jamming together. Our style blends rock, pop, and indie influences. We rehearse regularly, write original songs, and perform at campus and city events. We believe making music should be fun, not stressful. Whether you play an instrument or just love to sing and listen, everyone is welcome. Join JGG, get groovy, and turn the volume up!",1,thursday,period11,G117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,JUNE East Asian Dialogue,SOCIAL Interests and hobbies,"Our club focus on the contemporary and traditional cultural expressions across East Asia, especially on literature, comics, visual storytelling, fan culture, and other forms of popular media. Through close reading and cross-cultural discussion, members will examine how cultural works reflect the cultural environments in which they are created. The club aims to explore the broader ideas and social changes embedded within them, while also considering similarities and differences across different regions and cultural contexts.",1,friday,period11,A414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Latino Dance Club,SPORTS,"The Latino Dance Club aims to gather students passionate about or interested in Latin dance. We will meet weekly to practice moves, learn choreography, and prepare performances for school events. Members will train in a variety of Latin dance styles, including Cha-cha, Rumba, Samba, Paso doble and Jive. This club seeks to foster teamwork, confidence, and a love for dance among members. Whether refining technique by diving deeper into Latin rhythm and movement or discovering a new hobby，members will thrive in an inclusive, lively, and ‘Latino’ environment.",2,tuesday,period11,G021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Lego World Monuments,SOCIAL Interests and hobbies,"LEGO World Monuments is a creative, hands-on after-school club where students explore famous landmarks and monuments from around the world and recreate them using LEGO bricks. The club is ideal for students who enjoy LEGO, building, architecture, travel, history and discovering fascinating places around the world. They HAVE to complete this Cathédrale Notre-Dame de Paris LEGO thing before the end of my days!!!!!!!!!",0,monday,period11,B427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Life Pawnshop,SOCIAL Interests and hobbies,"Life Pawnshop is an ECA focusing on scientific self-exploration through cognitive psychology and community building. Instead of relying on superficial and changeable personality tests such as MBTI, this club uses psychological theories, cognitive bias experiments, value-choice games and movie analysis to help students identify what combination of personality traits makes them who they are, inner goals they might not have recognized yet, and subconscious preferences. I hope to create a safe space for students to “drop the mask”, see their true selves, and learn to build a psychological defense system against external stressors. At Life Pawnshop, we will try to be honest, even if that means we are unsure, confused, and even awkward. But we will walk out braver and more confident.",3,monday,period11,A401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Life-Health Club,ACADEMIC Health and wellbeing,"There is no prior competition experience is required—students in grades 9–11 who are passionate about biology, public health, or social service are all welcome! We prioritize hands-on practice over lectures, applying classroom knowledge to real-world problems—focusing on aging populations, home environmental hygiene, mental and physical health among seniors, child left-behind health, and youth public health. You’ll experience the full project lifecycle: from research design and fieldwork to community education. You’ll build authentic, application-ready materials, portfolios, and research outcomes for U.S. college admissions. The club offers diverse roles that support academic profiles—whether you excel at lab work, writing, interviews, or data analysis, there’s a place for you.",1,monday,period11,A206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Luminara Detectives Club,SOCIAL Interests and hobbies,"This is a platform for all detective fans in SCIE.Here you can learn detective knowledge that you might ever know, we provide lectures about detective culture and criminology (such as Criminal Psychology Lesson and Detective culture history).However the club is more about interest rather than theorist things! We play logic-reasoning games and hold Detective novel discussion regularly.Sometimes we watch detective movies together. Moreover we will plan some activity face to whole school like the detective game that we did last year on Halloween Night.",1,monday,period11,B423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
